PLAYER,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,
219,Leandro Barbosa,"$4,000,000 ","$4,000,000 ",$0 ,$0 ,$0 ,$0 
219,Thabo Sefolosha,"$4,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 
219,Udonis Haslem,"$4,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 
219,James Johnson,"$4,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 
219,Jordan Hill,"$4,000,000 ","$4,180,000 ",$0 ,$0 ,$0 ,$0 
224,Dante Exum,"$3,940,320 ","$4,992,385 ","$6,619,903 ",$0 ,$0 ,$0 
225,Kyle O'Quinn,"$3,918,750 ","$4,087,500 ","$4,256,250 ",$0 ,$0 ,$0 
226,Mario Hezonja,"$3,909,840 ","$4,078,320 ","$5,167,231 ","$6,851,748 ",$0 ,$0 
227,Kris Dunn,"$3,872,520 ","$4,046,760 ","$4,221,000 ","$5,348,007 ","$7,091,457 ",$0 
228,Nemanja Bjelica,"$3,800,000 ","$3,950,000 ",$0 ,$0 ,$0 ,$0 
229,Nick Collison,"$3,750,000 ",$0 ,$0 ,$0 ,$0 ,$0 
230,Kentavious Caldwell-Pope,"$3,678,319 ","$4,958,374 ",$0 ,$0 ,$0 ,$0 
231,Quincy Pondexter,"$3,617,978 ","$3,853,931 ",$0 ,$0 ,$0 ,$0 
232,Marcus Smart,"$3,578,880 ","$4,538,019 ","$6,053,718 ",$0 ,$0 ,$0 
233,Bojan Bogdanovic,"$3,573,020 ","$4,466,275 ",$0 ,$0 ,$0 ,$0 
234,Willie Cauley-Stein,"$3,551,160 ","$3,704,160 ","$4,696,874 ","$6,265,631 ",$0 ,$0 
235,Will Barton,"$3,533,333 ","$3,533,333 ",$0 ,$0 ,$0 ,$0 
236,Paul Pierce,"$3,527,920 ","$3,679,840 ",$0 ,$0 ,$0 ,$0 
237,Mike Miller,"$3,500,000 ","$3,500,000 ",$0 ,$0 ,$0 ,$0 
237,Lavoy Allen,"$3,500,000 ","$3,500,000 ",$0 ,$0 ,$0 ,$0 
237,Brandon Rush,"$3,500,000 ",$0 ,$0 ,$0 ,$0 ,$0 
240,Anthony Morrow,"$3,488,000 ",$0 ,$0 ,$0 ,$0 ,$0 
241,Trey Burke,"$3,386,597 ","$4,588,839 ",$0 ,$0 ,$0 ,$0 
242,Kevin Martin,"$3,336,000 ",$0 ,$0 ,$0 ,$0 ,$0 
243,Mike Scott,"$3,333,333 ",$0 ,$0 ,$0 ,$0 ,$0 
243,KJ McDaniels,"$3,333,333 ","$3,476,873 ",$0 ,$0 ,$0 ,$0 
245,Troy Daniels,"$3,332,940 ","$3,408,520 ","$3,258,539 ",$0 ,$0 ,$0 
246,Julius Randle,"$3,267,120 ","$4,149,242 ","$5,564,134 ",$0 ,$0 ,$0 
247,Emmanuel Mudiay,"$3,241,800 ","$3,381,480 ","$4,294,479 ","$5,758,897 ",$0 ,$0 
248,CJ McCollum,"$3,219,579 ","$23,962,573 ","$25,759,766 ","$27,556,959 ","$29,354,152 ",$0 
249,Jamal Murray,"$3,210,840 ","$3,355,320 ","$3,499,800 ","$4,444,746 ","$5,960,404 ",$0 
250,Patrick Mills,"$3,200,000 ",$0 ,$0 ,$0 ,$0 ,$0 
251,Michael Carter-Williams,"$3,183,526 ","$4,358,247 ",$0 ,$0 ,$0 ,$0 
252,Steven Adams,"$3,140,517 ","$4,321,352 ",$0 ,$0 ,$0 ,$0 
253,Kelly Olynyk,"$3,094,013 ","$4,279,020 ",$0 ,$0 ,$0 ,$0 
254,Shabazz Muhammad,"$3,046,299 ","$4,237,401 ",$0 ,$0 ,$0 ,$0 
255,Dante Cunningham,"$3,000,000 ","$3,150,000 ",$0 ,$0 ,$0 ,$0 
255,Justin Hamilton,"$3,000,000 ","$3,000,000 ",$0 ,$0 ,$0 ,$0 
257,Giannis Antetokounmpo,"$2,995,420 ","$4,187,597 ",$0 ,$0 ,$0 ,$0 
258,Nik Stauskas,"$2,993,040 ","$3,807,146 ","$5,132,033 ",$0 ,$0 ,$0 
259,Omri Casspi,"$2,963,814 ",$0 ,$0 ,$0 ,$0 ,$0 
260,Marquese Chriss,"$2,941,440 ","$3,073,800 ","$3,206,160 ","$4,078,235 ","$5,497,461 ",$0 
261,Seth Curry,"$2,898,000 ","$3,028,410 ",$0 ,$0 ,$0 ,$0 
261,James Ennis,"$2,898,000 ","$3,028,410 ",$0 ,$0 ,$0 ,$0 
261,Dion Waiters,"$2,898,000 ","$3,028,410 ",$0 ,$0 ,$0 ,$0 
261,Mindaugas Kuzminskas,"$2,898,000 ","$3,028,410 ","$3,785,513 ",$0 ,$0 ,$0 
261,Dewayne Dedmon,"$2,898,000 ","$3,028,410 ",$0 ,$0 ,$0 ,$0 
261,Zaza Pachulia,"$2,898,000 ",$0 ,$0 ,$0 ,$0 ,$0 
261,Nenê,"$2,898,000 ",$0 ,$0 ,$0 ,$0 ,$0 
268,Tomas Satoransky,"$2,870,813 ","$3,000,000 ","$3,129,187 ",$0 ,$0 ,$0 
269,Stanley Johnson,"$2,869,440 ","$2,993,040 ","$3,807,146 ","$5,132,033 ",$0 ,$0 
270,Tibor Pleiss,"$2,800,000 ",$0 ,$0 ,$0 ,$0 ,$0 
271,Noah Vonleh,"$2,751,360 ","$3,505,232 ","$4,749,590 ",$0 ,$0 ,$0 
272,Frank Kaminsky,"$2,730,000 ","$2,847,600 ","$3,627,842 ","$4,915,726 ",$0 ,$0 
273,Dennis Schroeder,"$2,708,582 ","$3,824,518 ",$0 ,$0 ,$0 ,$0 
274,Jakob Poeltl,"$2,703,960 ","$2,825,640 ","$2,947,320 ","$3,754,885 ","$5,087,870 ",$0 
275,Aaron Brooks,"$2,700,000 ",$0 ,$0 ,$0 ,$0 ,$0 
276,Elfrid Payton,"$2,613,600 ","$3,332,340 ","$4,538,647 ",$0 ,$0 ,$0 
277,Justise Winslow,"$2,593,440 ","$2,705,040 ","$3,448,926 ","$4,697,437 ",$0 ,$0 
278,Thon Maker,"$2,568,600 ","$2,684,160 ","$2,799,720 ","$3,569,643 ","$4,861,853 ",$0 
279,Jarrett Jack,"$2,551,659 ",$0 ,$0 ,$0 ,$0 ,$0 
280,Malcolm Delaney,"$2,500,000 ","$2,500,000 ",$0 ,$0 ,$0 ,$0 
280,Richard Jefferson,"$2,500,000 ","$2,500,000 ","$2,612,500 ",$0 ,$0 ,$0 
280,Randy Foye,"$2,500,000 ",$0 ,$0 ,$0 ,$0 ,$0 
280,Martell Webster,"$2,500,000 ",$0 ,$0 ,$0 ,$0 ,$0 
284,Doug McDermott,"$2,483,040 ","$3,294,994 ","$4,510,846 ",$0 ,$0 ,$0 
285,Domantas Sabonis,"$2,440,200 ","$2,550,000 ","$2,659,800 ","$3,529,554 ","$4,831,960 ",$0 
286,Shelvin Mack,"$2,433,334 ",$0 ,$0 ,$0 ,$0 ,$0 
287,Myles Turner,"$2,380,440 ","$2,483,040 ","$3,294,994 ","$4,510,846 ",$0 ,$0 
288,Tony Snell,"$2,368,327 ","$3,393,813 ",$0 ,$0 ,$0 ,$0 
289,Gorgui Dieng,"$2,348,782 ","$3,384,596 ",$0 ,$0 ,$0 ,$0 
290,Trey Lyles,"$2,340,600 ","$2,441,400 ","$3,364,249 ","$3,706,357 ",$0 ,$0 
291,Mason Plumlee,"$2,328,530 ","$3,371,711 ",$0 ,$0 ,$0 ,$0 
292,Taurean Prince,"$2,318,280 ","$2,422,560 ","$2,526,840 ","$3,481,985 ","$4,791,212 ",$0 
292,Dario Saric,"$2,318,280 ","$2,422,560 ","$2,526,840 ","$3,481,985 ","$4,791,212 ",$0 
294,Tim Hardaway Jr,"$2,281,605 ","$3,335,707 ",$0 ,$0 ,$0 ,$0 
295,Reggie Bullock,"$2,255,644 ","$3,313,542 ",$0 ,$0 ,$0 ,$0 
296,Zach LaVine,"$2,240,880 ","$3,202,217 ","$4,428,666 ",$0 ,$0 ,$0 
297,Georgios Papagiannis,"$2,202,240 ","$2,301,360 ","$2,400,480 ","$3,430,285 ","$4,744,085 ",$0 
298,Maurice Williams,"$2,194,500 ",$0 ,$0 ,$0 ,$0 ,$0 
299,Andre Roberson,"$2,183,072 ","$3,222,214 ",$0 ,$0 ,$0 ,$0 
300,Devin Booker,"$2,148,360 ","$2,240,880 ","$3,202,217 ","$4,428,666 ",$0 ,$0 
301,TJ Warren,"$2,128,920 ","$3,152,930 ","$4,385,726 ",$0 ,$0 ,$0 
302,Rudy Gobert,"$2,121,287 ","$3,145,868 ",$0 ,$0 ,$0 ,$0 
303,Cameron Payne,"$2,112,480 ","$2,203,440 ","$3,263,294 ","$4,539,242 ",$0 ,$0 
304,Joe Ingles,"$2,100,000 ",$0 ,$0 ,$0 ,$0 ,$0 
305,Archie Goodwin,"$2,094,089 ","$3,141,133 ",$0 ,$0 ,$0 ,$0 
306,Denzel Valentine,"$2,092,200 ","$2,186,400 ","$2,280,600 ","$3,377,568 ","$4,698,197 ",$0 
307,Tim Frazier,"$2,090,000 ","$2,000,000 ",$0 ,$0 ,$0 ,$0 
308,Adreian Payne,"$2,022,240 ","$3,100,093 ","$4,333,931 ",$0 ,$0 ,$0 
309,Kelly Oubre,"$2,006,640 ","$2,093,040 ","$3,208,630 ","$4,485,665 ",$0 ,$0 
310,Juan Hernangomez,"$1,987,440 ","$2,076,840 ","$2,166,360 ","$3,321,029 ","$4,642,799 ",$0 
311,Jusuf Nurkic,"$1,921,320 ","$2,947,304 ","$4,140,963 ",$0 ,$0 ,$0 
311,Lucas Nogueira,"$1,921,320 ","$2,947,304 ","$4,140,963 ",$0 ,$0 ,$0 
313,Terry Rozier,"$1,906,440 ","$1,988,520 ","$3,050,389 ","$4,285,797 ",$0 ,$0 
314,James Young,"$1,825,200 ","$2,803,507 ","$3,958,552 ",$0 ,$0 ,$0 
315,Rashad Vaughn,"$1,811,040 ","$1,889,040 ","$2,901,565 ","$4,097,010 ",$0 ,$0 
316,Wade Baldwin,"$1,793,760 ","$1,874,400 ","$1,955,160 ","$3,003,125 ","$4,240,413 ",$0 
317,Tyler Ennis,"$1,733,880 ","$2,666,707 ","$3,784,057 ",$0 ,$0 ,$0 
318,Sam Dekker,"$1,720,560 ","$1,794,600 ","$2,760,094 ","$3,916,574 ",$0 ,$0 
319,Joffrey Lauvergne,"$1,709,719 ",$0 ,$0 ,$0 ,$0 ,$0 
320,Henry Ellenson,"$1,704,120 ","$1,780,800 ","$1,857,480 ","$2,856,804 ","$4,053,805 ",$0 
321,Gary Harris,"$1,655,880 ","$2,550,055 ","$3,636,378 ",$0 ,$0 ,$0 
322,Jerian Grant,"$1,643,040 ","$1,713,840 ","$2,639,313 ","$3,763,661 ",$0 ,$0 
323,Malik Beasley,"$1,627,320 ","$1,700,640 ","$1,773,840 ","$2,731,713 ","$3,895,423 ",$0 
324,Delon Wright,"$1,577,280 ","$1,645,200 ","$2,536,898 ","$3,635,375 ",$0 ,$0 
325,Caris LeVert,"$1,562,280 ","$1,632,480 ","$1,702,800 ","$2,625,717 ","$3,762,653 ",$0 
326,David Lee,"$1,551,659 ","$1,605,967 ",$0 ,$0 ,$0 ,$0 
326,Chris Andersen,"$1,551,659 ",$0 ,$0 ,$0 ,$0 ,$0 
326,James Jones,"$1,551,659 ",$0 ,$0 ,$0 ,$0 ,$0 
326,David West,"$1,551,659 ",$0 ,$0 ,$0 ,$0 ,$0 
326,Brandon Bass,"$1,551,659 ",$0 ,$0 ,$0 ,$0 ,$0 
326,Raymond Felton,"$1,551,659 ",$0 ,$0 ,$0 ,$0 ,$0 
326,Beno Udrih,"$1,551,659 ",$0 ,$0 ,$0 ,$0 ,$0 
326,Steve Novak,"$1,551,659 ",$0 ,$0 ,$0 ,$0 ,$0 
326,Caron Butler,"$1,551,659 ",$0 ,$0 ,$0 ,$0 ,$0 
335,Mitch McGary,"$1,526,040 ","$2,430,981 ","$3,503,044 ",$0 ,$0 ,$0 
336,Justin Anderson,"$1,514,160 ","$1,579,440 ","$2,516,047 ","$3,625,625 ",$0 ,$0 
337,Marcelo Huertas,"$1,500,000 ","$1,567,500 ",$0 ,$0 ,$0 ,$0 
338,DeAndre Bembry,"$1,499,760 ","$1,567,200 ","$1,634,640 ","$2,603,981 ","$3,752,337 ",$0 
339,Jordan Adams,"$1,465,080 ","$2,410,056 ","$3,489,761 ",$0 ,$0 ,$0 
340,Demetrius Jackson,"$1,450,000 ","$1,384,750 ","$1,319,500 ","$1,319,500 ",$0 ,$0 
341,Malachi Richardson,"$1,439,880 ","$1,504,560 ","$1,569,360 ","$2,581,597 ","$3,738,152 ",$0 
342,Gerald Green,"$1,410,598 ",$0 ,$0 ,$0 ,$0 ,$0 
342,Sasha Vujacic,"$1,410,598 ",$0 ,$0 ,$0 ,$0 ,$0 
344,Rodney Hood,"$1,406,520 ","$2,386,864 ","$3,472,887 ",$0 ,$0 ,$0 
345,Bobby Portis,"$1,404,600 ","$1,465,080 ","$2,410,056 ","$3,489,761 ",$0 ,$0 
346,Marreese Speights,"$1,403,611 ","$1,459,969 ",$0 ,$0 ,$0 ,$0 
346,JaVale McGee,"$1,403,611 ",$0 ,$0 ,$0 ,$0 ,$0 
346,Michael Beasley,"$1,403,611 ",$0 ,$0 ,$0 ,$0 ,$0 
349,Alonzo Gee,"$1,400,000 ",$0 ,$0 ,$0 ,$0 ,$0 
350,Rondae Hollis-Jefferson,"$1,395,600 ","$1,455,720 ","$2,470,356 ","$3,594,369 ",$0 ,$0 
351,Deyonta Davis,"$1,369,229 ","$1,307,614 ","$1,245,999 ",$0 ,$0 ,$0 
352,Nikola Jokic,"$1,358,500 ","$1,417,000 ","$1,475,500 ",$0 ,$0 ,$0 
353,Shabazz Napier,"$1,350,120 ","$2,361,359 ","$3,452,308 ",$0 ,$0 ,$0 
354,Tyus Jones,"$1,339,680 ","$1,397,400 ","$2,444,052 ","$3,573,204 ",$0 ,$0 
355,Sasha Kaun,"$1,333,420 ",$0 ,$0 ,$0 ,$0 ,$0 
356,Timothe Luwawu,"$1,326,960 ","$1,386,600 ","$1,446,360 ","$2,529,684 ","$3,698,397 ",$0 
357,Bruno Caboclo,"$1,324,700 ","$2,042,687 ","$2,927,171 ",$0 ,$0 ,$0 
358,Jeremy Evans,"$1,315,448 ",$0 ,$0 ,$0 ,$0 ,$0 
358,Alan Anderson,"$1,315,448 ",$0 ,$0 ,$0 ,$0 ,$0 
358,Marcus Thornton,"$1,315,448 ",$0 ,$0 ,$0 ,$0 ,$0 
361,Clint Capela,"$1,296,240 ","$2,334,528 ","$3,429,421 ",$0 ,$0 ,$0 
362,Jarell Martin,"$1,286,160 ","$1,341,600 ","$2,416,221 ","$3,549,429 ",$0 ,$0 
363,Brice Johnson,"$1,273,920 ","$1,331,160 ","$1,388,520 ","$2,500,724 ","$3,673,564 ",$0 
364,Luke Babbitt,"$1,227,286 ",$0 ,$0 ,$0 ,$0 ,$0 
365,Jordan Mickey,"$1,223,653 ","$1,276,347 ","$1,329,039 ",$0 ,$0 ,$0 
366,CJ Wilcox,"$1,209,600 ","$2,183,328 ","$3,253,158 ",$0 ,$0 ,$0 
367,Larry Nance Jr,"$1,207,680 ","$1,259,640 ","$2,272,390 ","$3,369,955 ",$0 ,$0 
368,RJ Hunter,"$1,200,240 ","$1,251,960 ","$2,259,787 ","$3,367,083 ",$0 ,$0 
369,Pascal Siakam,"$1,196,040 ","$1,249,920 ","$1,303,680 ","$2,351,838 ","$3,487,776 ",$0 
370,Kyle Anderson,"$1,192,080 ","$2,151,704 ","$3,227,556 ",$0 ,$0 ,$0 
371,Chris McCullough,"$1,191,480 ","$1,242,840 ","$2,243,326 ","$3,364,989 ",$0 ,$0 
371,Josh Huestis,"$1,191,480 ","$1,242,840 ","$2,243,326 ","$3,364,989 ",$0 ,$0 
373,Skal Labissiere,"$1,188,840 ","$1,242,240 ","$1,295,760 ","$2,338,846 ","$3,484,881 ",$0 
373,Livio Jean-Charles,"$1,188,840 ","$1,242,240 ","$1,295,760 ","$2,338,847 ","$3,484,882 ",$0 
375,Dejounte Murray,"$1,180,080 ","$1,233,240 ","$1,286,280 ","$2,321,735 ","$3,482,603 ",$0 
376,Damian Jones,"$1,171,560 ","$1,224,240 ","$1,277,040 ","$2,305,057 ","$3,457,585 ",$0 
377,Kevon Looney,"$1,142,880 ","$1,192,080 ","$2,151,704 ","$3,227,556 ",$0 ,$0 
378,Yi Jianlian,"$1,139,123 ",$0 ,$0 ,$0 ,$0 ,$0 
379,Rakeem Christmas,"$1,052,342 ","$1,097,658 ","$1,142,974 ",$0 ,$0 ,$0 
379,Joseph Young,"$1,052,342 ","$1,097,658 ","$1,142,974 ",$0 ,$0 ,$0 
381,Quincy Acy,"$1,050,961 ","$1,178,992 ",$0 ,$0 ,$0 ,$0 
381,Brian Roberts,"$1,050,961 ",$0 ,$0 ,$0 ,$0 ,$0 
381,Pablo Prigioni,"$1,050,961 ","$1,178,992 ",$0 ,$0 ,$0 ,$0 
381,Terrence Jones,"$1,050,961 ",$0 ,$0 ,$0 ,$0 ,$0 
381,Robert Sacre,"$1,050,961 ",$0 ,$0 ,$0 ,$0 ,$0 
381,Christapher Johnson,"$1,050,961 ",$0 ,$0 ,$0 ,$0 ,$0 
387,Glenn Robinson III,"$1,050,500 ","$1,090,500 ",$0 ,$0 ,$0 ,$0 
388,Montrezl Harrell,"$1,045,000 ","$1,090,000 ",$0 ,$0 ,$0 ,$0 
389,Ivica Zubac,"$1,034,865 ","$1,081,529 ","$1,128,102 ",$0 ,$0 ,$0 
390,Richaun Holmes,"$1,024,000 ","$1,014,000 ","$1,088,000 ",$0 ,$0 ,$0 
391,Isaiah Canaan,"$1,015,696 ","$1,087,745 ",$0 ,$0 ,$0 ,$0 
391,Mike Muscala,"$1,015,696 ",$0 ,$0 ,$0 ,$0 ,$0 
391,Anthony Bennett,"$1,015,696 ","$1,087,745 ",$0 ,$0 ,$0 ,$0 
391,Lorenzo Brown,"$1,015,696 ",$0 ,$0 ,$0 ,$0 ,$0 
391,Ray McCallum,"$1,015,696 ",$0 ,$0 ,$0 ,$0 ,$0 
391,Ian Clark,"$1,015,696 ",$0 ,$0 ,$0 ,$0 ,$0 
391,Justin Holiday,"$1,015,696 ",$0 ,$0 ,$0 ,$0 ,$0 
391,Robert Covington,"$1,015,696 ","$1,087,745 ",$0 ,$0 ,$0 ,$0 
391,Hollis Thompson,"$1,015,696 ",$0 ,$0 ,$0 ,$0 ,$0 
391,Jeff Withey,"$1,015,696 ",$0 ,$0 ,$0 ,$0 ,$0 
401,Walter Tavares,"$1,000,000 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
402,Joe Harris,"$980,431 ","$1,051,245 ",$0 ,$0 ,$0 ,$0 
402,Spencer Dinwiddie,"$980,431 ","$1,051,245 ",$0 ,$0 ,$0 ,$0 
402,Sean Kilpatrick,"$980,431 ","$1,051,245 ",$0 ,$0 ,$0 ,$0 
402,Markel Brown,"$980,431 ",$0 ,$0 ,$0 ,$0 ,$0 
402,Nick Johnson,"$980,431 ",$0 ,$0 ,$0 ,$0 ,$0 
402,James Michael McAdoo,"$980,431 ",$0 ,$0 ,$0 ,$0 ,$0 
402,JaMychal Green,"$980,431 ",$0 ,$0 ,$0 ,$0 ,$0 
402,Jerami Grant,"$980,431 ","$1,051,245 ",$0 ,$0 ,$0 ,$0 
410,Andrew Harrison,"$945,000 ","$987,500 ","$1,050,262 ",$0 ,$0 ,$0 
411,Tyler Ulis,"$918,369 ","$905,249 ","$1,050,262 ","$1,126,120 ",$0 ,$0 
412,Raul Neto,"$877,800 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
413,Malcolm Brogdon,"$875,000 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
414,DJ Stephens,"$874,636 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
414,Aaron Harrison,"$874,636 ",$0 ,$0 ,$0 ,$0 ,$0 
414,Christian Wood,"$874,636 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
414,Salah Mejri,"$874,636 ",$0 ,$0 ,$0 ,$0 ,$0 
414,Axel Toupane,"$874,636 ",$0 ,$0 ,$0 ,$0 ,$0 
414,Darrun Hilliard,"$874,636 ",$0 ,$0 ,$0 ,$0 ,$0 
414,Anthony Brown,"$874,636 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
414,Willie Reed,"$874,636 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
414,TJ McConnell,"$874,636 ","$1,014,746 ","$1,088,038 ",$0 ,$0 ,$0 
414,Alan Williams,"$874,636 ",$0 ,$0 ,$0 ,$0 ,$0 
414,Pat Connaughton,"$874,636 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
414,Lamar Patterson,"$874,636 ",$0 ,$0 ,$0 ,$0 ,$0 
414,Jonathon Simmons,"$874,636 ",$0 ,$0 ,$0 ,$0 ,$0 
414,Norman Powell,"$874,636 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
428,Paul Zipser,"$750,000 ","$905,249 ","$1,050,262 ","$1,126,120 ",$0 ,$0 
429,Michael Gbinije,"$650,000 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
430,Jake Layman,"$600,000 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
431,Ben Bentil,"$543,471 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
431,Treveon Graham,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Patrick McCaw,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Chinanu Onuaku,"$543,471 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
431,Diamond Stone,"$543,471 ","$905,249 ",,$0 ,$0 ,$0 
431,Stefan Jankovic,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Cheick Diallo,"$543,471 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
431,Marshall Plumlee,"$543,471 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
431,Semaj Christon,"$543,471 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
431,Brandon Paul,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Davis Bertans,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Bryn Forbes,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Jarrod Uthoff,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Danuel House,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Yogi Ferrell,"$543,471 ",$0 ,$0 ,$0 ,$0 ,$0 
431,Jonathan Gibson,"$543,471 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
431,Jameel Warney,"$543,471 ",$0 ,$0 ,$0 ,$0 ,$0 
